VICTIMA_PERUANA,EDAD_VICTIMA,VICTIMA_GESTANDO,N_HIJOS,ESTADO_CIVIL_VICTIMA,ESTUDIA,TRABAJA_VICTIMA,TIENE_SEGURO,DIST_DOMICILIO
1,11,0,0,1,1,0,1,Lurigancho
1,8,0,0,1,1,0,1,Lurigancho
1,30,0,1,1,0,0,1,Lurigancho
1,59,0,1,1,0,0,1,Lurigancho
1,73,0,1,1,0,0,1,Lurigancho
1,52,0,0,1,0,0,1,Lurigancho
1,16,0,0,1,1,0,0,Lurigancho
1,67,0,0,1,0,0,1,Lurigancho
1,13,0,0,1,1,0,0,Lurigancho
1,3,0,0,1,0,0,1,Lurigancho
1,1,0,0,1,0,0,1,Lurigancho
1,1,0,0,1,0,0,1,Lurigancho
1,1,0,0,1,0,0,1,Lurigancho
1,19,1,1,1,0,0,1,Lurigancho
1,16,1,0,1,1,0,1,Lurigancho
1,29,0,1,1,0,0,1,Lurigancho
1,21,0,1,1,0,0,1,Lurigancho
1,34,0,1,1,1,0,1,Lurigancho
1,15,0,0,1,1,0,1,Lurigancho
1,9,0,0,1,0,0,1,Lurigancho
1,29,0,1,1,0,0,1,Lurigancho
1,5,0,0,1,1,0,1,Lurigancho
1,56,0,1,1,0,1,1,Lurigancho
1,27,0,0,1,0,0,1,Villa Maria del Triunfo
1,25,0,1,1,0,0,1,Lurigancho
1,6,0,0,1,1,0,1,La Victoria
1,18,0,0,1,1,0,1,Lurigancho
1,18,0,0,1,1,0,1,Lurigancho
1,18,0,0,1,1,0,1,Lurigancho
1,23,0,1,1,0,0,1,Lurigancho
1,32,0,1,1,1,0,0,Lurigancho
1,12,0,0,1,0,0,1,Lurigancho
1,39,0,1,1,0,0,1,Lurigancho
1,11,0,0,1,1,0,1,Lurigancho
1,11,0,0,1,1,0,1,Lurigancho
1,7,0,0,1,1,0,1,Lurigancho
1,7,0,0,1,1,0,1,Lurigancho
1,1,0,0,1,0,0,1,Lurigancho
1,1,0,0,1,0,0,1,Lurigancho
1,90,0,1,1,0,0,1,Lurigancho
1,32,0,1,1,0,1,1,Lurigancho
1,16,0,0,1,1,0,0,Lurigancho
1,27,0,1,1,0,1,1,Lurigancho
1,55,0,1,1,0,1,1,Lurigancho
1,14,0,0,1,1,0,1,Lurigancho
1,12,0,0,1,1,0,1,Lurigancho
1,98,0,0,1,0,0,1,Lurigancho
1,50,0,1,1,0,0,1,Lurigancho
1,45,0,1,1,0,1,1,Lurigancho
1,16,0,0,1,1,0,1,Lurigancho
1,19,0,1,1,0,0,1,Lurigancho
1,34,0,0,1,0,1,0,Santiago de Surco
1,27,0,1,1,0,0,1,San Juan de Lurigancho
1,30,0,1,1,0,1,1,Cieneguilla
1,34,0,1,1,0,0,1,Cieneguilla
1,21,0,1,1,0,0,0,Cieneguilla
1,19,0,1,1,0,0,1,Cieneguilla
1,2,0,0,1,0,0,1,Cieneguilla
1,28,0,1,1,0,1,1,Cieneguilla
1,3,0,0,1,0,0,1,Cieneguilla
1,19,0,0,1,0,0,0,Cieneguilla
1,42,0,1,1,0,0,1,Cieneguilla
1,25,0,1,1,0,0,1,Pachacamac
1,26,0,1,1,1,1,1,Cieneguilla
1,4,0,0,1,1,0,1,Cieneguilla
1,48,0,1,1,0,1,1,Cieneguilla
1,43,0,0,1,0,1,1,Cieneguilla
1,11,0,0,1,1,0,1,Cieneguilla
1,14,0,0,1,0,0,1,Cieneguilla
1,17,0,0,1,0,0,0,Pachacamac
1,22,0,1,1,1,1,1,Cieneguilla
1,6,0,0,1,1,0,1,Cieneguilla
1,5,0,0,1,1,0,0,Cieneguilla
1,37,0,1,1,0,0,1,Cieneguilla
